n       np   hosts   result  T1       T2       T3      optional_positions
40000    2   22      0       4.08589  4.0787   7.41824 "3997 3997 3999 3999"
40000    2   20      0       7.81701  4.08116  4.08671 "3997 3997 3999 3999"
40000    2   18      0       7.51726  4.08204  7.98962 "3997 3997 3999 3999"
40000    2   16      0       4.0903   4.09086  7.67968 "3997 3997 3999 3999"
40000    2   14      0       4.08495  4.09727  8.12212 "3997 3997 3999 3999"
40000    2   12      0       6.61476  4.08137  8.31414 "3997 3997 3999 3999"
40000    2   10      0       6.96659  4.08301  6.51126 "3997 3997 3999 3999"
40000    2   8       0       4.08181  4.07748  4.07066 "3997 3997 3999 3999"
40000    2   6       0       4.09787  4.45314  4.07563 "3997 3997 3999 3999"
40000    2   4       0       4.08192  8.08494  4.07878 "3997 3997 3999 3999"
40000    2   2       0       4.0846   8.18357  4.08127 "3997 3997 3999 3999"
40000    1   1       0       1.69478  1.75744  1.67982 "3997 3997 3999 3999"
