n    Abweichung-F1              Abweichung-F2
1024 -1.5667467323510209E-12    0.0000000000000000E+00
512  -2.4725554936821936E-11    -4.4408920985006262E-16
256  -3.9584557853800106E-10    -4.4408920985006262E-16
128  -6.3338561062664667E-09    8.8817841970012523E-15
