p      n      T                           PI-Ref            PI-Int            PI-Der
4-2    32768  0.3337250000000000          3.141592653589793 3.141592653590477 -6.8434147237894649E-13
4-2    16384  0.1869060000000000          3.141592653589793 3.141592653589473 3.2018832030189515E-13
4-2    8192   0.1141070000000000          3.141592653589793 3.141592653590008 -2.1538326677728037E-13
4-2    4096   7.6922000000000006E-02      3.141592653589793 3.141592653589769 2.4424906541753444E-14
4-2    2048   5.8576000000000006E-02      3.141592653589793 3.141592653589846 -5.2846615972157451E-14
4-2    1024   4.9882999999999997E-02      3.141592653589793 3.141592653591360 -1.5667467323510209E-12
4-2    512    4.5406000000000004E-02      3.141592653589793 3.141592653614519 -2.4725554936821936E-11
4-2    256    4.3160999999999996E-02      3.141592653589793 3.141592653985639 -3.9584557853800106E-10
4-2    128    4.2946999999999997E-02      3.141592653589793 3.141592659923649 -6.3338561062664667E-09
4-2    64     4.1350999999999996E-02      3.141592653589793 3.141592754953284 -1.0136349093414765E-07
4-2    32     4.1037999999999997E-02      3.141592653589793 3.141594276802671 -1.6232128778881361E-06
4-2    16     4.0410000000000004E-02      3.141592653589793 3.141618714746948 -2.6061157154977366E-05
