p      Abweichung-F1            Abweichung-F2
8    -6.8434147237894649E-13  -1.7763568394002505E-15
4    1.3420375921668892E-12   -6.2172489379008766E-15
2    -1.7310597399955441E-12  0.0000000000000000E+00
1    -1.4348522370255523E-12  1.0658141036401503E-14
