p n15 T15 PI-Ref PI-Int PI-Der SpeedUp15 Effizienz15 n12 T12 SpeedUp12 Effizienz12 IdealSpeedUp IdealEffizienz
8 32768 0.181576 3.1415926536 3.1415926536 -1.77635683940025E-15 6.3870830947 0.7983853868 4096 0.0577 2.801542461 0.3501928076 8 1
4 32768 0.308725 3.1415926536 3.1415926536 -6.21724893790088E-15 3.756550328 0.939137582 4096 0.0618 2.6156796117 0.6539199029 4 1
2 32768 0.600508 3.1415926536 3.1415926536 0 1.9312665277 0.9656332639 4096 0.0928 1.7419073276 0.8709536638 2 1
1 32768 1.159741 3.1415926536 3.1415926536 1.06581410364015E-14 1 1 4096 0.161649 1 1 1 1
