n       np  hosts   result   T1    T2     T3     optional_positions
40000   4   22      0        8.7567         8.41246         4.17662   "39997 39997 39999 39999"
36000   4   22      0        6.54452        6.55756         3.3758    "35997 35997 35999 35999"
32000   4   22      0        5.39265        5.04289         2.68251   "31997 31997 31999 31999"
28000   4   22      0        4.05612        4.54738         3.36571  "27997 27997 27999 27999"
24000   4   22      0        2.71532        3.18371         1.52456   "23997 23997 23999 23999"
20000   4   22      0        2.21503        2.07012         1.06957   "19997 19997 19999 19999"
16000   4   22      0        1.77654        1.13205         0.691198   "15997 15997 15999 15999"
12000   4   22      0        1.46566        0.755968        0.400204       "11997 11997 11999 11999"
8000    4   22      0        0.39451        0.362462        0.190909     "7997 7997 7999 7999"
4000    4   22      0        0.101764       0.115626        0.0621571      "3997 3997 3999 3999"
100     4   22      0        0.0120985      0.0359971       0.000872024       "97 97 99 99"
