n np hosts result T1 T2 T3 Mittel
40000 2 22 2 4.20965 4.21368 4.1906 4.2046433333
36000 2 22 2 3.4142 3.38464 3.39457 3.3978033333
32000 2 22 2 2.69232 2.69138 2.6882 2.6906333333
28000 2 22 2 2.07689 2.07032 2.05131 2.0661733333
24000 2 22 2 1.5169 1.51899 1.52567 1.52052
20000 2 22 2 1.05307 1.05751 1.06287 1.0578166667
16000 2 22 2 0.681567 0.682296 0.676329 0.680064
12000 2 22 2 0.384388 0.385579 0.391884 0.3872836667
8000 2 22 2 0.17321 0.17274 0.172282 0.172744
4000 2 22 2 0.0448915 0.0446358 0.0440603 0.0445292
100 2 22 2 0.00093338 0.000853736 0.000726873 0.0008379963
