n       np  hosts   result   T1    T2     T3
40000   2   22      2       27.3073     27.2932      27.3273
36000   2   22      2       22.1406     22.1357      22.1223
32000   2   22      2       17.5062     17.5081      17.5078
28000   2   22      2       13.4247     13.4356      13.4287
24000   2   22      2       9.88437     9.90745      9.88336
20000   2   22      2       6.8981      6.9298       6.92851
16000   2   22      2       4.48243     4.46643      4.45122
12000   2   22      2       2.55551     2.52461      2.55277
8000    2   22      2       1.19023     1.19924      1.18036
4000    2   22      2       0.335382    0.330264     0.339185
100     2   22      2       0.0561837   0.0570396    0.057716
