n       np  hosts   result   T1    T2     T3
40000   2   22      1       27.3985      27.44        27.4203
36000   2   22      1       22.2215      22.2092      22.2216
32000   2   22      1       17.5593      17.5889      17.6022
28000   2   22      1       13.4807      13.498       13.4969
24000   2   22      1       9.94225      9.92975      9.96104
20000   2   22      1       6.94512      6.95664      6.96203
16000   2   22      1       4.48401      4.50092      4.47316
12000   2   22      1       2.58878      2.53521      2.56031
8000    2   22      1       1.1713       1.18879      1.18114
4000    2   22      1       0.326481     0.331681     0.337975
100     2   22      1       0.0603513    0.0623998    0.0563462
