n np hosts result T1 T2 T3 Mittel
40000 2 22 0 27.2634 27.2876 27.3331 27.2947
36000 2 22 0 22.1224 22.1628 22.1347 22.1399666667
32000 2 22 0 17.5185 17.527 17.5052 17.5169
28000 2 22 0 13.4296 13.4188 13.448 13.4321333333
24000 2 22 0 9.90738 9.84948 9.89722 9.8846933333
20000 2 22 0 6.90686 6.91855 6.90001 6.9084733333
16000 2 22 0 4.47918 4.46591 4.42551 4.4568666667
12000 2 22 0 2.54479 2.53509 2.55198 2.5439533333
8000 2 22 0 1.18692 1.17678 1.17714 1.18028
4000 2 22 0 0.342598 0.341497 0.330568 0.338221
100 2 22 0 0.0580501 0.0560025 0.0589947 0.0576824333
