n       np  hosts   result   T_1(n)_in_s    T_2(n)_in_s     T_3(n)_in_s     optional_positions
10000    2   22      2       0.441157        6.3078          6.32437         ""
10000    2   22      1       0.610814        8.99743         9.00328         ""
10000    2   22      0       0.436709        6.21639         6.21909         "3997 3997 3999 3999"
10000    2   20      2       0.442231        6.30603         6.31345         ""
10000    2   20      1       0.598038        9.01191         9.00064         ""
10000    2   20      0       0.430543        6.22252         6.22283         "3997 3997 3999 3999"
10000    2   18      2       0.437477        6.32074         6.31154         ""
10000    2   18      1       0.613644        8.99579         8.99384         ""
10000    2   18      0       0.435656        6.22556         6.22444         "3997 3997 3999 3999"
10000    2   16      2       0.432955        6.31027         6.31037         ""
10000    2   16      1       0.608602        8.99482         9.00082         ""
10000    2   16      0       0.433426        6.22237         6.22319         "3997 3997 3999 3999"
10000    2   14      2       0.43412         6.31322         6.35978         ""
10000    2   14      1       0.602787        9.00307         9.12255         ""
10000    2   14      0       0.425972        6.22226         6.24253         "3997 3997 3999 3999"
10000    2   12      2       0.436842        6.30959         6.29696         ""
10000    2   12      1       0.602586        9.00208         9.00004         ""
10000    2   12      0       0.438743        6.22869         6.22785         "3997 3997 3999 3999"
10000    2   10      2       0.436092        6.33075         6.31032         ""
10000    2   10      1       0.602986        9.00517         8.99732         ""
10000    2   10      0       0.42496        6.21851         6.22168         "3997 3997 3999 3999"
10000    2   8       2       0.432425        6.3038          6.30101         ""
10000    2   8       1       0.60404        8.98715         9.00352         ""
10000    2   8       0       0.429216        6.2192          6.23371         "3997 3997 3999 3999"
10000    2   6       2       0.436474        6.31075         6.30808         ""
10000    2   6       1       0.605402        8.998           9.00895         ""
10000    2   6       0       0.428076        6.22558         6.21887         "3997 3997 3999 3999"
10000    2   4       2       0.436217        6.31169         6.31282         ""
10000    2   4       1       0.597462        8.99641         8.99112         ""
10000    2   4       0       0.428743        6.21516         6.22693         "3997 3997 3999 3999"
10000    2   2       2       0.426774        6.29979         6.30357         ""
10000    2   2       1       0.596101        8.99999         8.99759         ""
10000    2   2       0       0.424896        6.2134          6.22044         "3997 3997 3999 3999"
10000    1   1       2       0.71932        10.751          10.7322         ""
10000    1   1       1       1.06331        15.9743         15.9767         "" TODO: replace this with fixed measure
10000    1   1       0       0.388287        2.47886         2.50532         "3997 3997 3999 3999"










































































































