n np hosts result T1 T2 T3 Mittel p SpeedUp Effizienz
10000 2 22 2 1.80965 1.8094 1.78467  1.80124 44 0.3674633401 0.0083514395
10000 2 20 2 1.8061 1.80187 1.77513  1.7943666667 40 0.3688709108 0.0092217728
10000 2 18 2 1.7523 1.80095 1.75377  1.7690066667 36 0.3741589442 0.010393304
10000 2 16 2 1.7492 1.75943 1.76627  1.7583 32 0.3764372784 0.011763665
10000 2 14 2 1.74354 1.74386 1.71969  1.7356966667 28 0.3813394814 0.0136192672
10000 2 12 2 1.71203 1.71578 1.71507  1.7142933333 24 0.3861005896 0.0160875246
10000 2 10 2 1.68689 1.68043 1.68108  1.6828 20 0.3933264004 0.01966632
10000 2 8 2 1.65097 1.65003 1.6511  1.6507 16 0.4009751419 0.0250609464
10000 2 6 2 1.5773 1.58317 1.58018  1.5802166667 12 0.4188600719 0.034905006
10000 2 4 2 1.45837 1.47371 1.46055  1.46421 8 0.4520455854 0.0565056982
10000 2 2 2 1.10625 1.11419 1.10854  1.10966 4 0.5964797025 0.1491199256
10000 1 1 2 0.65467 0.67756 0.653439  0.6618896667 1 1 1
